"PARD3" "RTN4" "ASZ1" "SLITRK6" "SLITRK2" "GJA1" "GLI3" "SLITRK1" "LAMB1" "SLITRK4" "LRRC4C" "NKX2-2" "PEX13" "POU4F3" "EPHB3" "NRXN1" "PTPN11" "CHL1" "NF2" "ROBO1" "ALS2" "PARD6B" "TGFB2" "TIAM1" "TNR" "PTEN" "DNER" "UNC5C" "NRP2" "NRP1" "LDB1" "SEMA5A" "EMX2" "SHH" "DRD1" "SEMA3A" "GATA2" "CREB1" "SEMA6A" "HHIP" "SLIT2" "RELN" "PAFAH1B1" "NEFM" "MAP1B" "DLX5" "VEGFC" "TLX1" "ROBO2" "SIX1" "NR4A2" "MDGA2" "B3GNT2" "NTRK3" "STMN2" "KATNA1" "APP" "MYO6" "TRAPPC4" "NLGN1" "CCK" "TOP2B" "NR2F2" "SLITRK3" "BMP2" "CDK5RAP1" "CDK6"
"PARD3" 1 -0.682 0.648 0.671 -0.563 0.827 0.644 -0.764 0.648 -0.088 -0.508 -0.104 -0.51 -0.478 0.777 -0.069 0.564 0.194 0.802 0.492 0.637 -0.405 -0.777 0.55 0.468 -0.54 0.529 0.684 -0.446 -0.269 0.465 0.808 -0.491 0.088 -0.02 0.717 -0.363 -0.678 0.694 -0.158 0.344 0.761 0.572 0.581 0.672 -0.238 0.168 0.038 0.507 -0.628 -0.684 -0.498 0.024 -0.173 -0.465 -0.52 0.871 0.779 0.697 0.448 -0.239 0.756 -0.303 -0.041 -0.126 0.36 0.245
"RTN4" -0.682 1 -0.585 -0.682 0.381 -0.881 -0.055 0.507 -0.304 -0.348 0.25 -0.493 0.78 -0.054 -0.638 -0.127 -0.484 -0.494 -0.669 -0.648 -0.511 -0.175 0.365 -0.776 -0.727 0.312 -0.324 -0.431 0.121 0.058 -0.3 -0.631 0.274 0.285 -0.372 -0.751 0.383 0.59 -0.614 -0.078 0.096 -0.632 -0.505 -0.469 -0.558 -0.485 -0.425 0.056 -0.494 0.281 0.329 0.151 -0.37 0.212 -0.079 0.475 -0.833 -0.583 -0.276 -0.429 -0.031 -0.625 0.091 -0.248 -0.278 -0.301 -0.46
"ASZ1" 0.648 -0.585 1 0.536 -0.493 0.868 0.496 -0.666 0.909 -0.033 -0.286 -0.334 -0.693 -0.17 0.628 0.122 0.857 0.501 0.659 0.918 0.967 0.168 -0.648 0.827 0.804 -0.307 0.711 0.958 -0.37 0.342 0.844 0.784 -0.269 0.011 0.42 0.956 -0.705 -0.918 0.605 -0.311 0.281 0.782 0.698 0.977 0.762 -0.035 0.767 0.198 0.615 -0.441 -0.59 -0.548 0.189 0.369 -0.082 -0.638 0.786 0.91 0.114 0.813 0.382 0.966 -0.255 -0.164 0.069 0.391 0.043
"SLITRK6" 0.671 -0.682 0.536 1 -0.927 0.679 0.61 -0.87 0.3 -0.443 -0.87 0 -0.8 -0.618 0.631 -0.592 0.312 0.808 0.909 0.604 0.437 -0.413 -0.804 0.731 0.225 -0.9 0.602 0.578 -0.732 -0.515 0.066 0.887 -0.884 0.148 0.599 0.565 0.134 -0.451 0.934 -0.428 0.64 0.887 0.052 0.352 0.904 -0.156 0.113 0.631 0.899 -0.814 -0.859 -0.737 0.41 -0.194 -0.597 0.024 0.873 0.384 0.36 0.004 -0.092 0.486 -0.787 0.658 -0.5 0.887 0.025
"SLITRK2" -0.563 0.381 -0.493 -0.927 1 -0.498 -0.787 0.914 -0.355 0.724 0.969 0.337 0.68 0.825 -0.575 0.745 -0.293 -0.785 -0.873 -0.502 -0.393 0.579 0.899 -0.616 -0.01 0.971 -0.713 -0.618 0.912 0.565 -0.038 -0.877 0.964 -0.401 -0.547 -0.444 -0.257 0.406 -0.921 0.552 -0.874 -0.84 0.117 -0.328 -0.9 0.468 0.005 -0.833 -0.892 0.934 0.959 0.876 -0.253 0.014 0.788 -0.146 -0.749 -0.317 -0.281 0.091 0.132 -0.401 0.934 -0.615 0.751 -0.965 0.146
"GJA1" 0.827 -0.881 0.868 0.679 -0.498 1 0.353 -0.716 0.707 0.171 -0.325 0.047 -0.816 -0.144 0.815 0.164 0.8 0.482 0.8 0.792 0.794 0.097 -0.63 0.883 0.829 -0.366 0.64 0.771 -0.334 0.068 0.615 0.829 -0.316 -0.032 0.296 0.961 -0.6 -0.886 0.723 -0.035 0.126 0.767 0.66 0.791 0.708 0.175 0.556 0.058 0.556 -0.476 -0.54 -0.365 0.159 0.115 -0.071 -0.694 0.939 0.884 0.267 0.693 0.066 0.886 -0.175 -0.018 0.16 0.354 0.391
"GLI3" 0.644 -0.055 0.496 0.61 -0.787 0.353 1 -0.776 0.604 -0.779 -0.795 -0.69 -0.242 -0.877 0.425 -0.605 0.288 0.309 0.652 0.369 0.516 -0.737 -0.904 0.27 -0.072 -0.782 0.593 0.716 -0.774 -0.374 0.322 0.73 -0.769 0.389 0.168 0.354 0.046 -0.386 0.634 -0.677 0.889 0.748 0.139 0.441 0.761 -0.823 -0.006 0.572 0.681 -0.818 -0.92 -0.913 0.054 -0.01 -0.873 0.024 0.552 0.441 0.559 0.085 -0.088 0.501 -0.766 0.14 -0.724 0.682 -0.387
"SLITRK1" -0.764 0.507 -0.666 -0.87 0.914 -0.716 -0.776 1 -0.593 0.514 0.843 0.386 0.765 0.772 -0.842 0.443 -0.607 -0.647 -0.976 -0.54 -0.543 0.492 0.97 -0.745 -0.257 0.843 -0.88 -0.748 0.891 0.46 -0.245 -0.979 0.812 -0.509 -0.307 -0.676 0.032 0.694 -0.969 0.299 -0.745 -0.828 -0.112 -0.531 -0.857 0.429 -0.069 -0.645 -0.746 0.953 0.927 0.75 0.017 -0.178 0.69 0.246 -0.889 -0.621 -0.284 -0.203 0.267 -0.604 0.725 -0.308 0.56 -0.784 -0.151
"LAMB1" 0.648 -0.304 0.909 0.3 -0.355 0.707 0.604 -0.593 1 -0.101 -0.192 -0.593 -0.409 -0.262 0.584 0.2 0.852 0.176 0.527 0.698 0.917 0.013 -0.651 0.577 0.655 -0.192 0.689 0.934 -0.354 0.358 0.898 0.67 -0.15 0.173 0.078 0.828 -0.739 -0.88 0.441 -0.267 0.314 0.623 0.715 0.949 0.592 -0.308 0.613 0.085 0.391 -0.418 -0.542 -0.507 -0.103 0.458 -0.176 -0.701 0.617 0.93 0.201 0.834 0.244 0.915 -0.147 -0.461 0.018 0.197 -0.003
"SLITRK4" -0.088 -0.348 -0.033 -0.443 0.724 0.171 -0.779 0.514 -0.101 1 0.806 0.66 0.048 0.874 -0.04 0.891 0.152 -0.392 -0.356 -0.024 -0.017 0.761 0.623 0.015 0.561 0.769 -0.388 -0.286 0.785 0.544 0.188 -0.393 0.792 -0.515 -0.291 0.15 -0.567 -0.097 -0.441 0.693 -0.954 -0.41 0.46 0.048 -0.51 0.841 0.324 -0.843 -0.566 0.707 0.732 0.805 -0.076 -0.008 0.881 -0.561 -0.126 0.147 -0.194 0.446 0.12 0.062 0.89 -0.47 0.968 -0.755 0.572
